"","factory_location","destination","distance_km","transport_mode","fuel_price","shipment_weight","shipment_volume","num_stops","shipment_urgency","weather_conditions","carrier_reliability","order_volume","product_type","packaging_type","special_handling","customs_clearance","supply_chain_disruption","seasonality","temp_control","delivery_lead_time","id"
"1","Charlotte","Boston",2610,"Road",1.89,10315,49.3,2,"Medium","Clear",95.1,676,"Automotive","Fragile","No","No","No","Off-Peak","No",5.6,1
"2","Charlotte","Las Vegas",122,"Air",1.89,9929,89,1,"High","Clear",87.9,25,"Electronics","Oversized","No","No","No","Peak","No",1,2
"3","Chicago","Seattle",2558,"Road",1.45,15889,28.4,1,"Low","Clear",88.3,52,"Clothing","Refrigerated","No","No","No","Off-Peak","Yes",6.1,3
"4","Columbus","Cleveland",1596,"Road",1.69,18376,30.7,0,"High","Clear",89.3,96,"Clothing","Fragile","No","No","No","Peak","No",2.8,4
"5","Chicago","Orlando",1335,"Road",1.36,11769,98.7,0,"Medium","Clear",99.2,986,"Clothing","Fragile","No","Yes","No","Peak","No",4.9,5
"6","San Jose","Boston",2797,"Air",0.56,16487,46.9,1,"Low","Clear",85.4,162,"Automotive","Standard","Yes","No","No","Off-Peak","No",4.2,6
"7","Los Angeles","Kansas City",535,"Road",0.93,16168,1.2,2,"Low","Clear",81.1,768,"Automotive","Fragile","No","No","No","Off-Peak","Yes",2.7,7
"8","Philadelphia","Las Vegas",1167,"Road",1.22,5703,6.9,0,"Low","Rain",75.4,864,"Automotive","Oversized","No","No","No","Off-Peak","Yes",3.1,8
"9","Austin","Boston",457,"Rail",1.15,10222,93.2,1,"Low","Clear",97.9,311,"Clothing","Standard","No","No","No","Off-Peak","No",1,9
"10","Phoenix","Detroit",492,"Road",1.9,5975,47.8,2,"Medium","Clear",80.1,217,"Clothing","Oversized","No","No","No","Off-Peak","Yes",2.1,10
"11","Houston","Kansas City",2046,"Road",1.47,17366,84.5,2,"Low","Clear",79.7,607,"Furniture","Fragile","No","No","No","Off-Peak","No",4,11
"12","Columbus","Miami",1708,"Road",0.5,14296,83.4,3,"Low","Rain",96.4,319,"Food","Fragile","Yes","No","No","Off-Peak","No",6,12
"13","Philadelphia","Seattle",1441,"Road",0.53,7311,77.1,2,"Medium","Clear",82.3,246,"Food","Refrigerated","No","No","No","Peak","No",3.5,13
"14","Dallas","Sacramento",2443,"Road",0.95,19941,60.7,0,"Low","Clear",99.4,795,"Clothing","Standard","No","Yes","Yes","Off-Peak","No",9.9,14
"15","San Jose","Cincinnati",2889,"Road",0.91,14050,56.3,2,"Low","Clear",81.2,52,"Automotive","Fragile","No","Yes","No","Off-Peak","No",8.3,15
"16","Austin","Kansas City",1570,"Road",1.74,4826,53,1,"Low","Clear",88.5,680,"Electronics","Refrigerated","Yes","No","No","Off-Peak","No",4.4,16
"17","Phoenix","Indianapolis",2126,"Air",1.58,12985,24.6,1,"Low","Rain",88.4,147,"Clothing","Standard","No","No","Yes","Peak","No",7.5,17
"18","Chicago","Atlanta",584,"Road",1.52,6945,62,2,"Low","Clear",73.2,248,"Furniture","Fragile","No","No","No","Off-Peak","No",2.1,18
"19","Austin","Atlanta",1097,"Road",1.08,16032,86.7,1,"Low","Snow",90.4,189,"Pharmaceutical","Standard","No","Yes","No","Off-Peak","No",NA,19
